label_name,dimension,value
type:bug,type,bug
bug,type,bug
type:feature,type,feature
enhancement,type,feature
type:epic,type,epic
Epic,type,epic
EPIC,type,epic
status:triage,status,awaiting_triage
triage,status,awaiting_triage
status:needs-repro,status,needs_repro
needs-repro,status,needs_repro
status:has-repro,status,has_repro
has-repro,status,has_repro
repro/verified,status,has_repro
fidget-repro-complete,status,has_repro
release/awaiting-release,status,awaiting_release
hard-blocker,priority,hard_blocker
soft-blocker,priority,soft_blocker
source:customer,source,customer
source:community,source,community
SQL_understanding,area,static-analysis
vsce,area,vscode
adapters,area,adapters
duckdb,adapter,duckdb
databricks,adapter,databricks
bigquery,adapter,bigquery
snowflake,adapter,snowflake
redshift,adapter,redshift
trino,adapter,trino
